id,description
a099d31c-e410-4fe0-a731-428495ec5ab4,Memiliki kemampuan berpikir tingkat tinggi dan mampu mengimplementasikannya dalam kehidupan sehari-hari.
95a3d421-3f39-475b-9e3a-04e0cedf906a,Memiliki kemampuan sebagai pembelajar seumur hidup
d28516a8-9d96-415d-9060-40bef5f73ba2,Memiliki kemampuan untuk berkolaborasi secara efektif dalam lingkungan masyarakat akademik maupun masyarakat umum
b091ae6f-c485-46fa-b9e6-53a490dfac2a,Memiliki kesadaran akan tanggung jawab sosial serta mampu menerapkan pendekatan multidisiplin dan interdisiplin dalam memecahkan berbagai masalah terkait keprofesian dan masyarakat yang luas.
